family,seed,category,n,within,between,gap,null_mean,null_sd,null_lo,null_hi,p_perm,n_perm
F_vitl_bv_base,0,animals,29,0.0852346196770668,0.01246024202555418,0.07277438044548035,0.0001275049108080566,0.0033218440334300274,-0.005833752476610244,0.007257782900705931,0.0,5000
F_vitl_bv_base,0,food_drink,27,0.047638580203056335,0.004014592617750168,0.04362398758530617,6.092456635087728e-06,0.003454892873467928,-0.006233251316007227,0.007324762665666634,0.0,5000
F_vitl_bv_base,0,vehicles,11,0.10577793419361115,0.014726690948009491,0.09105124324560165,-7.008042521774768e-05,0.007808378872102205,-0.01481026136316359,0.015800262568518502,0.0,5000
F_vitl_bv_base,0,toys,15,0.02893473394215107,0.012885329313576221,0.016049403697252274,-0.00011896598567254841,0.005839454400060605,-0.010643302905373275,0.01229279593098908,0.0066,5000
F_vitl_bv_base,0,clothing,14,0.05263909325003624,0.007955510169267654,0.044683583080768585,-0.0001262659413740039,0.006182215002880258,-0.011231802077963949,0.013097826368175434,0.0,5000
F_vitl_bv_base,0,body_parts,7,0.06854072958230972,0.009776504710316658,0.058764226734638214,5.615198123268783e-05,0.012211307544295016,-0.022094021970406174,0.02643744531087577,0.0002,5000
F_vitl_bv_base,0,household,25,0.01671346090734005,0.009349803440272808,0.007363657467067242,0.00013711635526269674,0.003712458330615121,-0.006524868332780897,0.007930403202772133,0.0356,5000
F_vitl_bv_base,0,furniture_rooms,17,0.03607723116874695,0.011809425428509712,0.024267805740237236,-1.6323498543351888e-05,0.005149517431151075,-0.009370214026421308,0.010678262822329988,0.0,5000
F_vitl_bv_base,0,outside,19,0.0457296222448349,0.013619283214211464,0.032110340893268585,-5.4951516538858415e-05,0.004657956834227652,-0.008508419967256486,0.009949695435352617,0.0,5000
F_vitl_bv_base,0,places,8,0.03361126407980919,0.01507384330034256,0.01853742077946663,0.00023011869783513247,0.010669765161150908,-0.018978185253217816,0.02260596775449811,0.0494,5000
F_vitl_bv_base,0,ALL,172,0.0511377789080143,0.010640684515237808,0.04049709439277649,4.468485899269581e-05,0.0015186233012506195,-0.0028640924487262965,0.0031624532537534804,0.0,5000
F_vitl_bv_base,1,animals,29,0.07228375971317291,0.009841582737863064,0.062442176043987274,8.084923988208175e-05,0.003003060527393478,-0.0053243546979501845,0.006517293071374266,0.0,5000
F_vitl_bv_base,1,food_drink,27,0.047218188643455505,0.0032346686348319054,0.043983519077301025,-4.023421667516232e-05,0.003178490977428846,-0.005706383660435676,0.006612958572804923,0.0,5000
F_vitl_bv_base,1,vehicles,11,0.0989605262875557,0.01208464428782463,0.08687588572502136,-0.00018019469385035337,0.007246223374693821,-0.013572760857641697,0.01480218148790298,0.0,5000
F_vitl_bv_base,1,toys,15,0.02877320721745491,0.011260986328125,0.01751222088932991,-3.695868561044335e-05,0.005531215585209144,-0.010222369385883213,0.011585720512084645,0.0024,5000
F_vitl_bv_base,1,clothing,14,0.041513871401548386,0.007712205406278372,0.033801667392253876,-3.4374567028135064e-05,0.005862303880195974,-0.010768779902718961,0.012305158097296948,0.0,5000
F_vitl_bv_base,1,body_parts,7,0.05938221141695976,0.009038337506353855,0.05034387484192848,-6.162577858194709e-05,0.011310022519248524,-0.020713084330782294,0.02360591064207252,0.0,5000
F_vitl_bv_base,1,household,25,0.016300182789564133,0.00864220317453146,0.007657979615032673,6.621354259550571e-05,0.0033768599240002087,-0.0061656657140702,0.00704894009977579,0.0178,5000
F_vitl_bv_base,1,furniture_rooms,17,0.03169393539428711,0.01075037382543087,0.02094356156885624,-2.7153839450329543e-05,0.004807350774510682,-0.008716956060379744,0.010022382182069106,0.0,5000
F_vitl_bv_base,1,outside,19,0.040788572281599045,0.010745521634817123,0.03004305064678192,-3.249568259343505e-05,0.0043166010152924554,-0.00790761758107692,0.009051208500750361,0.0,5000
F_vitl_bv_base,1,places,8,0.026921579614281654,0.011801875196397305,0.01511970441788435,0.00018701483202166854,0.010159634908500961,-0.01862845988944173,0.02119818446226418,0.074,5000
F_vitl_bv_base,1,ALL,172,0.045876603573560715,0.009036405012011528,0.036840200424194336,1.5713112987577915e-05,0.0014227387483437938,-0.0026957469759508967,0.002881083497777576,0.0,5000
F_vitl_bv_base,2,animals,29,0.08253287523984909,0.011339453049004078,0.07119341939687729,7.927519809454679e-05,0.0032163290705790617,-0.005665438412688672,0.006969183823093766,0.0,5000
F_vitl_bv_base,2,food_drink,27,0.045833174139261246,0.0033911094069480896,0.042442064732313156,2.7613361272960903e-05,0.003398734759415834,-0.006174175604246557,0.007259184122085557,0.0,5000
F_vitl_bv_base,2,vehicles,11,0.1036851704120636,0.012228613719344139,0.09145655483007431,-0.00017145580719225107,0.007700486517992361,-0.014292813302017747,0.01575390072539448,0.0,5000
F_vitl_bv_base,2,toys,15,0.033702414482831955,0.012034861370921135,0.02166755311191082,-2.266096854582429e-05,0.005759155764289391,-0.01044287085533142,0.012079971353523414,0.001,5000
F_vitl_bv_base,2,clothing,14,0.04788507893681526,0.009303819388151169,0.03858125954866409,-6.947497306391596e-05,0.00612002650345388,-0.011294738808646797,0.012624477548524736,0.0,5000
F_vitl_bv_base,2,body_parts,7,0.06981617957353592,0.011643621139228344,0.058172557502985,-7.451258325017989e-05,0.01203457650682433,-0.022113914601504803,0.025788949057459813,0.0002,5000
F_vitl_bv_base,2,household,25,0.02171795442700386,0.008905774913728237,0.012812179513275623,0.00014809969682246446,0.0035410954574870953,-0.00636648436775431,0.0076303499052301025,0.0006,5000
F_vitl_bv_base,2,furniture_rooms,17,0.028706718236207962,0.011279605329036713,0.01742711290717125,-3.7610660307109356e-06,0.005026811026730766,-0.009008566406555474,0.010702332179062066,0.0018,5000
