word,x,y,pos,count,nn_cos,konkle60
lion,-2.7544317,39.96886,NOUN,659,0.2651008,False
boat,15.724738,28.184914,NOUN,687,0.23093188,False
flower,-28.370281,27.538794,NOUN,799,0.24029529,False
fork,-0.76702696,-39.26517,NOUN,717,0.29472616,False
circle,14.774565,6.9075603,NOUN,681,0.36641446,False
turtle,5.418017,37.532394,NOUN,541,0.25938463,True
spin,-7.031234,11.674248,NOUN,843,0.19019105,False
rainbow,35.82702,5.533413,NOUN,587,0.19251174,False
flowers,-29.021847,27.055962,NOUN,731,0.24909365,False
fingers,13.283474,-21.282278,NOUN,655,0.17923433,False
cars,22.154522,16.584543,NOUN,652,0.26139173,False
week,20.903498,-33.84389,NOUN,675,0.1913373,False
bathroom,19.88026,-24.008875,NOUN,581,0.17776836,False
letter,12.932034,2.62546,NOUN,702,0.2393837,False
shark,14.94827,36.853836,NOUN,868,0.20642726,False
strawberries,-18.418905,-44.30142,NOUN,707,0.26656488,False
sauce,-8.273022,-29.689398,NOUN,688,0.2337694,False
soup,-13.221122,-28.077986,NOUN,756,0.19096501,False
spot,-5.805889,-19.545881,NOUN,609,0.18505196,False
blueberries,-13.599811,-45.670788,NOUN,518,0.29066333,False
cereal,8.081309,-34.17726,NOUN,735,0.20724058,False
puzzle,11.113976,14.696767,NOUN,575,0.24224167,False
space,9.060329,17.436132,NOUN,526,0.18658702,False
star,14.000483,12.111045,NOUN,594,0.2531292,False
pancakes,-4.0236373,-41.630253,NOUN,781,0.32456526,False
step,-23.394249,8.61182,NOUN,693,0.18153514,False
slide,-7.0017037,15.223223,NOUN,722,0.21588548,False
ears,42.76214,3.2718892,NOUN,484,0.30665347,False
balls,14.447292,-2.090924,NOUN,609,0.20566803,False
half,21.581835,-33.94638,NOUN,696,0.18444794,False
heart,16.018167,11.147942,NOUN,653,0.20791346,False
moon,10.690847,20.89023,NOUN,596,0.2172788,False
snow,-12.447145,26.184374,NOUN,403,0.17764401,False
story,5.671928,21.45702,NOUN,576,0.18262827,False
pumpkin,-34.17596,-25.80072,NOUN,559,0.22398238,False
animal,-0.44153112,41.55503,NOUN,465,0.23693074,False
puppy,19.943018,45.947964,NOUN,569,0.18974888,False
video,-23.398884,-5.8107023,NOUN,672,0.23344626,False
