scale,source,kind,category,spearman,n_pairs
10000,F_dinov3l_align_10000_s0,model,all,0.06389453030944357,607
10000,bv26a_align_10000,w2v,all,-0.04820360810761686,607
10000,F_dinov3l_align_10000_s0,model,noun,0.03848410068145447,207
10000,bv26a_align_10000,w2v,noun,0.05388599535198831,207
10000,F_dinov3l_align_10000_s1,model,all,0.0036369749412105234,607
10000,F_dinov3l_align_10000_s1,model,noun,-0.022595737803746414,207
10000,F_dinov3l_align_10000_s2,model,all,0.03680295067654244,607
10000,F_dinov3l_align_10000_s2,model,noun,0.13841035379100522,207
30000,F_dinov3l_align_30000_s0,model,all,0.03024576512439266,1382
30000,bv26a_align_30000,w2v,all,0.10049741527598034,1382
30000,F_dinov3l_align_30000_s0,model,noun,0.08154920130020353,570
30000,bv26a_align_30000,w2v,noun,0.11781852556975211,570
30000,F_dinov3l_align_30000_s1,model,all,0.042541894668362744,1382
30000,F_dinov3l_align_30000_s1,model,noun,0.022389559874932654,570
30000,F_dinov3l_align_30000_s2,model,all,0.07543876813932064,1382
30000,F_dinov3l_align_30000_s2,model,noun,0.09120865824825779,570
100000,F_dinov3l_align_100000_s0,model,all,0.1127611818777144,2901
100000,bv26a_align_100000,w2v,all,0.26864857477983733,2901
100000,F_dinov3l_align_100000_s0,model,noun,0.16105701879027196,1205
100000,bv26a_align_100000,w2v,noun,0.329010584925177,1205
100000,F_dinov3l_align_100000_s1,model,all,0.12519148524946427,2901
100000,F_dinov3l_align_100000_s1,model,noun,0.13511340955771967,1205
100000,F_dinov3l_align_100000_s2,model,all,0.1489856820170173,2901
100000,F_dinov3l_align_100000_s2,model,noun,0.18113240464766572,1205
170000,F_dinov3l_align_170000_s0,model,all,0.1284626640111303,3673
170000,bv26a_align_170000,w2v,all,0.26610461951519376,3673
170000,F_dinov3l_align_170000_s0,model,noun,0.13289364075967056,1509
170000,bv26a_align_170000,w2v,noun,0.32863102900701285,1509
170000,F_dinov3l_align_170000_s1,model,all,0.14412444067198915,3673
170000,F_dinov3l_align_170000_s1,model,noun,0.22429628258140427,1509
170000,F_dinov3l_align_170000_s2,model,all,0.16308480655784124,3673
170000,F_dinov3l_align_170000_s2,model,noun,0.171528220542373,1509
