family,seed,category,n,within,between,gap,null_mean,null_sd,null_lo,null_hi,p_perm,n_perm
F_vitb_bv_base,0,animals,34,0.07103211432695389,0.01362916361540556,0.057402949780225754,-1.9761282205581667e-05,0.0029419933614437794,-0.005245217098854482,0.00615475021768361,0.0,5000
F_vitb_bv_base,0,food_drink,33,0.04542047157883644,0.0034769794438034296,0.041943490505218506,6.890266481786966e-06,0.003027652403284759,-0.005368648236617446,0.006498425896279511,0.0,5000
F_vitb_bv_base,0,vehicles,11,0.11322519183158875,0.014552371576428413,0.09867282211780548,7.867415621876717e-05,0.008003495771158727,-0.014065152988769114,0.01699328632093962,0.0,5000
F_vitb_bv_base,0,toys,12,0.023344416171312332,0.010997580364346504,0.012346835806965828,0.0001005079148337245,0.007461211026184072,-0.013328042300418019,0.015989765943959355,0.0548,5000
F_vitb_bv_base,0,clothing,12,0.04174186289310455,0.014380278065800667,0.027361584827303886,-0.0001111714206635952,0.007437186814289094,-0.013515203376300633,0.015742880757898075,0.0008,5000
F_vitb_bv_base,0,body_parts,8,0.07451282441616058,0.00841401144862175,0.06609880924224854,0.00016327382060699164,0.011239492512619475,-0.02008415977470577,0.02437306363135575,0.0,5000
F_vitb_bv_base,0,household,26,0.019295724108815193,0.009255843237042427,0.010039880871772766,6.7106731235980984e-06,0.0037445335279110313,-0.006639552512206137,0.008033850975334638,0.0092,5000
F_vitb_bv_base,0,furniture_rooms,17,0.040876906365156174,0.010237619280815125,0.03063928708434105,-5.968594523146749e-05,0.005423425037414238,-0.009650078066624702,0.011611975869163864,0.0,5000
F_vitb_bv_base,0,outside,21,0.036411941051483154,0.01271847914904356,0.02369346097111702,3.536777775734663e-05,0.004506033971780569,-0.007942889630794526,0.009615110629238185,0.0,5000
F_vitb_bv_base,0,places,7,0.027287710458040237,0.014471793547272682,0.012815916910767555,-4.9986409116536376e-05,0.012968823851738137,-0.0238185771740973,0.02768431389704346,0.1518,5000
F_vitb_bv_base,0,ALL,181,0.04834187403321266,0.010550882667303085,0.037790991365909576,3.493783436715603e-06,0.001487304117013867,-0.0027981648920103906,0.0030840733321383556,0.0,5000
F_vitb_bv_base,1,animals,34,0.0763353556394577,0.01488499715924263,0.06145035848021507,-7.31031410396099e-08,0.003083135534169537,-0.005520669720135629,0.006881065480411047,0.0,5000
F_vitb_bv_base,1,food_drink,33,0.04717816784977913,0.0033061623107641935,0.043872006237506866,8.507750583812594e-05,0.003170108632742991,-0.00553654006216675,0.0068847062531858655,0.0,5000
F_vitb_bv_base,1,vehicles,11,0.10542301088571548,0.017418494448065758,0.08800451457500458,-8.239368228241802e-05,0.008237313805410464,-0.014690570742823183,0.017790070129558428,0.0,5000
F_vitb_bv_base,1,toys,12,0.02268061414361,0.011288433335721493,0.011392180807888508,7.421490084379911e-05,0.0075123201213853005,-0.013261780911125242,0.016168183274567118,0.0736,5000
F_vitb_bv_base,1,clothing,12,0.03845030069351196,0.013813131488859653,0.024637170135974884,-0.00020658313813619317,0.0075404045623829775,-0.013529396429657937,0.015971541218459593,0.0028,5000
F_vitb_bv_base,1,body_parts,8,0.08264660835266113,0.007089801132678986,0.07555680721998215,1.05544522870332e-05,0.01126932152897547,-0.020135500701144338,0.02370693809352813,0.0,5000
F_vitb_bv_base,1,household,26,0.017893746495246887,0.009717663750052452,0.008176082745194435,-4.7656559105962515e-05,0.0038378485796605006,-0.007052423211280257,0.008205621829256406,0.0252,5000
F_vitb_bv_base,1,furniture_rooms,17,0.03858873248100281,0.008853151462972164,0.02973558008670807,-5.43688734062016e-05,0.00545851469156746,-0.00973285681102425,0.011267646169289937,0.0,5000
F_vitb_bv_base,1,outside,21,0.04343812167644501,0.011300142854452133,0.032137978821992874,7.028057798743248e-06,0.004531793509717186,-0.008142699673771858,0.009598348033614453,0.0,5000
F_vitb_bv_base,1,places,7,0.015002943575382233,0.014809193089604378,0.00019375048577785492,-1.1122349184006453e-06,0.013096884812455863,-0.023719260608777402,0.027896833699196565,0.466,5000
F_vitb_bv_base,1,ALL,181,0.05029148980975151,0.010622786357998848,0.03966870158910751,5.584972165524959e-06,0.0015180416198341488,-0.002840761677362025,0.003073909599334,0.0,5000
F_vitb_bv_base,2,animals,34,0.07232172787189484,0.013920830562710762,0.058400899171829224,-4.777629273012281e-05,0.002973469068880284,-0.005423665069974959,0.006346930027939378,0.0,5000
F_vitb_bv_base,2,food_drink,33,0.04459034278988838,0.002539138775318861,0.042051203548908234,4.6730186324566603e-05,0.003068428875479685,-0.005441408813931048,0.006742205610498784,0.0,5000
F_vitb_bv_base,2,vehicles,11,0.11342433840036392,0.014779333025217056,0.09864500164985657,-5.599659886211157e-05,0.008160974555537989,-0.014598570740781724,0.017702569626271702,0.0,5000
F_vitb_bv_base,2,toys,12,0.029345490038394928,0.011185773648321629,0.018159717321395874,2.6671555265784262e-05,0.007453040447278258,-0.013724548975005746,0.015893578203394994,0.013,5000
F_vitb_bv_base,2,clothing,12,0.04551413655281067,0.015241329558193684,0.03027280792593956,-0.00011275669382885098,0.007636139978307338,-0.013869829289615155,0.01637931219302117,0.0012,5000
F_vitb_bv_base,2,body_parts,8,0.0745774358510971,0.0058586872182786465,0.06871874630451202,2.84610896371305e-05,0.01128059515588024,-0.02034490592777729,0.023951569432392683,0.0,5000
F_vitb_bv_base,2,household,26,0.018731607124209404,0.008464111015200615,0.010267496109008789,-5.1307504065334796e-05,0.003738642665145864,-0.00652824790449813,0.008015230204910037,0.0096,5000
F_vitb_bv_base,2,furniture_rooms,17,0.041088733822107315,0.00927176233381033,0.03181697055697441,-2.6577327679842712e-05,0.005380467162745922,-0.009717003698460758,0.011238533700816313,0.0,5000
F_vitb_bv_base,2,outside,21,0.041324540972709656,0.012675685808062553,0.028648855164647102,-2.702050730586052e-05,0.004437759497992783,-0.008035746915265917,0.009158483892679196,0.0,5000
F_vitb_bv_base,2,places,7,0.04817790165543556,0.012996354140341282,0.035181548446416855,-0.00021444871644489468,0.012938866295853512,-0.0237821321003139,0.027293569361790993,0.0076,5000
F_vitb_bv_base,2,ALL,181,0.04947352781891823,0.010133529081940651,0.03933999687433243,-1.72812445089221e-05,0.0014974400024703946,-0.002871149848215282,0.0030494417063891867,0.0,5000
