scale,source,kind,category,spearman,n_pairs
1000000,F_dinov3b_rand_1000000_s0,model,all,0.14105287117547174,5596
1000000,bv26a_rand_1000000_s0,w2v,all,0.31989956545510967,5596
1000000,F_dinov3b_rand_1000000_s0,model,noun,0.2303391800302717,2064
1000000,bv26a_rand_1000000_s0,w2v,noun,0.40592970875874124,2064
1000000,F_dinov3b_rand_1000000_s1,model,all,0.1540651550239366,5460
1000000,F_dinov3b_rand_1000000_s1,model,noun,0.22106641802628013,2031
1000000,F_dinov3b_rand_1000000_s2,model,all,0.13491364193586283,5491
1000000,F_dinov3b_rand_1000000_s2,model,noun,0.23487400121975577,2041
1815243,F_dinov3b_base_s0,model,all,0.15301253683552135,6144
1815243,bv26a_base,w2v,all,0.3413577064483215,6144
1815243,F_dinov3b_base_s0,model,noun,0.24590448968363374,2244
1815243,bv26a_base,w2v,noun,0.44380125062435144,2244
1815243,F_dinov3b_base_s1,model,all,0.15968007798087605,6144
1815243,F_dinov3b_base_s1,model,noun,0.25702160753889863,2244
1815243,F_dinov3b_base_s2,model,all,0.1660342487124617,6144
1815243,F_dinov3b_base_s2,model,noun,0.2788772642082269,2244
