encoder,N,seed,acc
vitl_bv,3000,6,25.8
vitl_bv,3000,7,27.412
vitl_bv,10000,0,26.488
vitl_bv,10000,1,32.812
vitl_bv,10000,2,25.475
vitl_bv,10000,3,23.588
vitl_bv,10000,4,23.325
vitl_bv,10000,5,22.962
vitl_bv,10000,6,24.075
vitl_bv,10000,7,24.162
vitl_bv,30000,0,23.1
vitl_bv,30000,1,30.338
vitl_bv,30000,2,28.5
vitl_bv,30000,3,27.438
vitl_bv,30000,4,26.2
vitl_bv,30000,5,28.75
vitl_bv,30000,6,27.612
vitl_bv,30000,7,27.762
vitl_bv,100000,0,26.388
vitl_bv,100000,1,39.35
vitl_bv,100000,2,28.1
vitl_bv,100000,3,25.35
vitl_bv,100000,4,28.138
vitl_bv,100000,5,30.738
vitl_bv,100000,6,29.65
vitl_bv,100000,7,36.638
vitl_bv,300000,0,37.262
vitl_bv,300000,1,37.5
vitl_bv,300000,2,37.688
vitl_bv,300000,3,36.012
vitl_bv,300000,4,35.125
vitl_bv,1000000,0,42.588
vitl_bv,1000000,1,43.925
vitl_bv,1000000,2,43.075
vitl_bv,1686105,0,47.975
vitl_bv,1686105,1,48.062
vitl_bv,1686105,2,47.038
vitl_bv,1686105,3,47.512
vitl_bv,1686105,4,48.088
vits_bv,3000,0,27.638
vits_bv,3000,1,25.925
vits_bv,3000,2,25.425
vits_bv,3000,3,23.325
vits_bv,3000,4,27.075
vits_bv,3000,5,27.038
vits_bv,3000,6,23.825
vits_bv,3000,7,26.45
vits_bv,10000,0,25.788
vits_bv,10000,1,25.0
vits_bv,10000,2,26.7
vits_bv,10000,3,25.625
vits_bv,10000,4,27.525
vits_bv,10000,5,27.588
vits_bv,10000,6,25.062
vits_bv,10000,7,24.325
vits_bv,30000,0,26.962
vits_bv,30000,1,27.55
vits_bv,30000,2,18.562
vits_bv,30000,3,26.262
vits_bv,30000,4,31.912
vits_bv,30000,5,26.912
vits_bv,30000,6,26.288
vits_bv,30000,7,26.888
vits_bv,100000,0,29.35
vits_bv,100000,1,30.888
vits_bv,100000,2,33.05
vits_bv,100000,3,31.5
vits_bv,100000,4,31.425
vits_bv,100000,5,28.55
vits_bv,100000,6,35.112
vits_bv,100000,7,36.088
vits_bv,300000,0,34.562
vits_bv,300000,1,40.65
vits_bv,300000,2,25.762
vits_bv,300000,3,36.512
vits_bv,300000,4,37.425
vits_bv,1000000,0,41.625
vits_bv,1000000,1,42.7
vits_bv,1000000,2,38.325
vits_bv,1686105,0,37.3
vits_bv,1686105,1,38.45
vits_bv,1686105,2,39.588
