scale,source,kind,category,spearman,n_pairs
300000,F_dinov3s_rand_300000_s4,model,noun,0.041438181677671326,1499
1000000,F_dinov3s_rand_1000000_s0,model,all,0.13742257593985857,5596
1000000,bv26a_rand_1000000_s0,w2v,all,0.31989956545510967,5596
1000000,F_dinov3s_rand_1000000_s0,model,noun,0.21258663939317968,2064
1000000,bv26a_rand_1000000_s0,w2v,noun,0.40592970875874124,2064
1000000,F_dinov3s_rand_1000000_s1,model,all,0.136976843925774,5460
1000000,F_dinov3s_rand_1000000_s1,model,noun,0.2011980004143429,2031
1000000,F_dinov3s_rand_1000000_s2,model,all,0.13658646440901187,5491
1000000,F_dinov3s_rand_1000000_s2,model,noun,0.21280052322645357,2041
1682259,F_dinov3s_base_s0,model,all,0.13050487918332498,6144
1682259,bv26a_base,w2v,all,0.3413577064483215,6144
1682259,F_dinov3s_base_s0,model,noun,0.23352196910104614,2244
1682259,bv26a_base,w2v,noun,0.44380125062435144,2244
1682259,F_dinov3s_base_s1,model,all,0.1262740549129242,6144
1682259,F_dinov3s_base_s1,model,noun,0.20309073376461112,2244
1682259,F_dinov3s_base_s2,model,all,0.1445034401257992,6144
1682259,F_dinov3s_base_s2,model,noun,0.20683117145755153,2244
1682259,F_dinov3s_base_s3,model,all,0.1431674021669731,6144
1682259,F_dinov3s_base_s3,model,noun,0.22230611077464374,2244
1682259,F_dinov3s_base_s4,model,all,0.11475641981487883,6144
1682259,F_dinov3s_base_s4,model,noun,0.2042470722433648,2244
