form,measure,age,n_items,n_children,mean_p_know,pred_4afc
WG,understands,8,40,255,0.09990196078431364,32.49264705882352
WG,understands,10,40,279,0.16666666666666657,37.499999999999986
WG,understands,12,40,615,0.26121951219512196,44.59146341463415
WG,understands,14,40,455,0.37846153846153846,53.38461538461537
WG,understands,16,40,820,0.6170731707317073,71.28048780487805
WG,understands,18,40,383,0.6518276762402089,73.88707571801567
WS,produces,16,40,930,0.21690860215053767,41.26814516129033
WS,produces,18,40,641,0.2939547581903276,47.046606864274565
WS,produces,20,40,537,0.40051259067789546,55.03844430084216
WS,produces,22,40,454,0.5227422907488986,64.2056718061674
WS,produces,24,40,985,0.6636186109654825,74.7713958224112
WS,produces,26,40,435,0.7390874231018079,80.43155673263558
WS,produces,28,40,954,0.8858752620545074,91.44064465408806
WS,produces,30,40,785,0.8145348837209301,86.09011627906975
