family,seed,category,n,within,between,gap,null_mean,null_sd,null_lo,null_hi,p_perm,n_perm
F_dinov3l_base,0,animals,38,0.07732246816158295,0.010599497705698013,0.06672297418117523,-3.648692648857832e-06,0.002652547525828137,-0.00472988395486027,0.00572770109865814,0.0,5000
F_dinov3l_base,0,food_drink,36,0.0442899689078331,0.0024902650620788336,0.04179970547556877,-3.211945500224829e-05,0.0027664161714337043,-0.004983570938929915,0.005894586141221224,0.0,5000
F_dinov3l_base,0,vehicles,11,0.08722162991762161,0.012890192680060863,0.07433144003152847,6.398051232099533e-05,0.007929955438575057,-0.0142749645980075,0.016751782828941932,0.0,5000
F_dinov3l_base,0,toys,15,0.03550351411104202,0.012465041130781174,0.02303847298026085,1.6833354346454142e-05,0.00580473024331969,-0.010547880781814456,0.012535535474307833,0.0008,5000
F_dinov3l_base,0,clothing,20,0.05441976711153984,0.012403232045471668,0.04201653599739075,2.775805750861764e-05,0.004473441672390546,-0.007882224745117128,0.009391749184578638,0.0,5000
F_dinov3l_base,0,body_parts,14,0.06378073245286942,0.004581888671964407,0.05919884517788887,-4.675166141241789e-05,0.00611147963969038,-0.011247999500483274,0.012610889831557863,0.0,5000
F_dinov3l_base,0,household,31,0.02848331443965435,0.012260857038199902,0.016222458332777023,-5.688793025910854e-06,0.0030943192529569825,-0.005640981218311936,0.006527545093558728,0.0,5000
F_dinov3l_base,0,furniture_rooms,21,0.055289097130298615,0.01200591679662466,0.04328317940235138,3.912226390093565e-05,0.004343093599954557,-0.007889999123290182,0.009258262929506595,0.0,5000
F_dinov3l_base,0,outside,20,0.05438153073191643,0.009902937337756157,0.04447859525680542,2.446317123249173e-05,0.004530716447301805,-0.00809136328753084,0.009692441439256067,0.0,5000
F_dinov3l_base,0,places,9,0.011890066787600517,0.009109401144087315,0.0027806656435132027,0.00013946473165415228,0.009765574502944014,-0.017541485885158182,0.021205316716805096,0.369,5000
F_dinov3l_base,0,ALL,215,0.05328793451189995,0.009574140422046185,0.04371379315853119,-6.166055053472519e-06,0.001238076852639577,-0.0024036681978031995,0.002494179201312363,0.0,5000
F_dinov3l_base,1,animals,38,0.0787542387843132,0.011053166352212429,0.0677010715007782,-3.489370876923203e-05,0.002663788314762835,-0.004727478767745197,0.0055225307121872895,0.0,5000
F_dinov3l_base,1,food_drink,36,0.0461287721991539,0.0026642822194844484,0.04346448928117752,-1.0178251378238202e-05,0.0027514240674567166,-0.004984780889935791,0.005746477702632528,0.0,5000
F_dinov3l_base,1,vehicles,11,0.09636151045560837,0.015110158361494541,0.0812513530254364,0.00013416451890952886,0.007873604164535591,-0.014232952473685145,0.016632057400420303,0.0,5000
F_dinov3l_base,1,toys,15,0.02926500327885151,0.012345345690846443,0.016919657588005066,8.309790398925542e-07,0.005852079153822923,-0.010325745237059892,0.012553075421601534,0.0066,5000
F_dinov3l_base,1,clothing,20,0.0537785068154335,0.012829546816647053,0.040948960930109024,1.990705728530884e-07,0.00444347741226035,-0.008018590742722154,0.00948869483545421,0.0,5000
F_dinov3l_base,1,body_parts,14,0.058531731367111206,0.004511154256761074,0.05402057617902756,-5.848654629662633e-05,0.006134335080683371,-0.011148405680432915,0.012785623222589472,0.0,5000
F_dinov3l_base,1,household,31,0.02686973474919796,0.012269869446754456,0.014599865302443504,1.578022912144661e-05,0.003058458415591694,-0.005545995617285371,0.006459521013312039,0.0,5000
F_dinov3l_base,1,furniture_rooms,21,0.04799704626202583,0.012565759010612965,0.03543128818273544,8.406329127028584e-05,0.004333790747328425,-0.007803162885829806,0.009046307578682869,0.0,5000
F_dinov3l_base,1,outside,20,0.051148444414138794,0.010466336272656918,0.0406821072101593,-1.832169918343425e-05,0.004441936751563038,-0.007926633534952997,0.0094746446236968,0.0,5000
F_dinov3l_base,1,places,9,0.01130053773522377,0.010270152240991592,0.0010303854942321777,0.0001736713994294405,0.009690770906488436,-0.017613519495353103,0.020498055871576066,0.4422,5000
F_dinov3l_base,1,ALL,215,0.05272568017244339,0.009990774095058441,0.04273490607738495,-4.221616499125957e-06,0.0012288481335196032,-0.0023968305205926297,0.0024804963031783696,0.0,5000
F_dinov3l_base,2,animals,38,0.06689517945051193,0.0071906428784132,0.05970453470945358,-1.2851959932595492e-05,0.0024095847517607996,-0.00445240963017568,0.005111184925772249,0.0,5000
