"user_id","run_id","dataset","language","score","score_se","age","num_attempted","adaptive"
"xa4ZDadXSIMJvpIGvl0M","IHd61GJtklgtdAm6ACXW","pilot_western_ca_main","en-US",2.05,0.4,10.7,68,TRUE
"gvYNkswITCYZYKUbm45H","oHOe37uqh1houCDkDKjS","pilot_western_ca_main","en-US",-0.12,0.4,10.2,62,TRUE
"IdJSBNV7hhdKi4158PpG","EpqtxHu2vaihXx6KT7pW","pilot_western_ca_main","en-US",-0.27,0.44,10.7,38,TRUE
"ak3m5ZbPXQ274ytGEa2V","ElJhvgbMWrnhqcIwQWbV","pilot_western_ca_main","en-US",1.21,0.53,9.3,30,TRUE
"9lnbqMlPf0KDxBVeBU2d","itP045iERV75sW3KVa6E","pilot_western_ca_main","en-US",0.48,0.6,10.2,22,TRUE
"xC1ngeRpvNfHZCScfNMs","edHN8srUu0n3796tknLy","pilot_western_ca_main","en-US",2.21,0.43,11.5,51,TRUE
"flAV0xu43k0XQzVe9krp","vcU18YsGDrVFUJtTJ8eH","pilot_western_ca_main","en-US",0.74,0.3,7.7,170,FALSE
"nbtS7DL4kZ0tIFh4CY7i","1SAJYGmg1LfelXoURI6u","pilot_western_ca_main","en-US",0.22,0.44,8.1,42,TRUE
"VoJ2e0xdDJzjLYj1Q7Ec","luT2nb41Ri10blnRAeB5","pilot_western_ca_main","en-US",1.94,0.44,10.8,48,TRUE
"XBQzGK6JA2CXj5oPVpNB","8hPYUMI7viJu8NGy8Im8","pilot_western_ca_main","en-US",-0.35,0.3,10.8,126,FALSE
"HTGMsmhDeAf8hlnVE4Iv","cZyyuaeIKwjsO9HOOrSo","pilot_western_ca_main","en-US",1.82,0.34,11.2,169,FALSE
"UdjgwjqQXQBiT5BMSkMd","mHDymRWhzC0OXeMNMfzI","pilot_western_ca_main","en-US",0.11,0.31,9.1,147,FALSE
"02RDD9fhv6cfYuZ2UJJX","O5srGuFr6a2MXMUEJrbX","pilot_western_ca_main","en-US",-2.83,0.72,6.6,16,FALSE
"3xDxQfAlmAs7wvrKzSVT","Q1UGZNKXrNOzQZoqgvbD","pilot_western_ca_main","en-US",-0.1,0.35,12.7,73,TRUE
"0nF5OLEb8RXUcttwmHmm","8yXci2gyw43H5oOFJevs","pilot_western_ca_main","en-US",-0.1,0.43,9.1,60,TRUE
"k8HGP8CWWmi7YRH3owBH","RHPrO0kilM6DrYezuGMD","pilot_western_ca_main","en-US",1.74,0.4,10.8,64,TRUE
"i3Rpf9T5W1Yg7ri7B3OB","Lq6lxNfkJt6pDxJRQNZp","pilot_western_ca_main","en-US",2.01,0.34,7.6,169,FALSE
"yubvyRClJMJTMFupiSrZ","5O4zJYz9NVRtdEwtbEc6","pilot_western_ca_main","en-US",-2.98,0.4,5.6,89,TRUE
"zrqxBMd89B0qzFh3LWdR","610fRVnoVNICANl39Igm","pilot_western_ca_main","en-US",-1.76,0.32,5.3,85,TRUE
"tnX52dmi57RLsmXbb482","dG8i7RMGQ0i1h8ElCEHk","pilot_western_ca_main","en-US",-1.32,0.37,5.5,56,TRUE
"xwpZp3o5Yqo0b7swT2LB","UPZwoVAyogmfljC65IZw","pilot_western_ca_main","en-US",-0.28,0.43,8.9,42,TRUE
"RTTju9dVDaHjoaKgndzb","B2mDyJI1rNheQQ7nhNpr","pilot_western_ca_main","en-US",-0.5,0.37,6.6,54,TRUE
"5F2G9mIBvuCY7p1i1xAI","gjwjoduT8of0nFaYwvh5","pilot_western_ca_main","en-US",-1.04,0.35,6.7,63,TRUE
"3j3tNGWOYo3qxIJrWZrg","PzX5cwtjzijVf8hQcxuU","pilot_western_ca_main","en-US",-0.81,0.36,6.7,54,TRUE
"N8MRgIDCaFyJcagy67ru","sIEniVujv1TRzeWecJsG","pilot_western_ca_main","en-US",-0.86,0.42,7.5,43,TRUE
"mWtLUnRVXXAsCYL0NM3t","eEMXIyV93xgaxPaSF2Xs","pilot_western_ca_main","en-US",-1.14,0.35,7.6,66,TRUE
"plMTu7nz48WRicnKCXPk","X2U3qFC8NaVfzMOvjClI","pilot_western_ca_main","en-US",-1.01,0.67,5.9,30,TRUE
