age_yr,site,acc_macro,lo,hi,n_children,n_items,acc_observed_administered,n_children_observed
5,pilot_uniandes_co,0.4132322899679562,0.38177302370336375,0.44714289746133823,9,155,0.6581660077993038,49
6,pilot_uniandes_co,0.5352154891876525,0.5050471824897683,0.5611339516804879,14,155,0.6926120081486732,95
7,pilot_uniandes_co,0.6233723671017221,0.6013338484924607,0.645666566799368,30,155,0.7238615070104075,101
8,pilot_uniandes_co,0.6417046386956695,0.6150822484345885,0.6655076109324336,35,155,0.7518958014788494,98
9,pilot_uniandes_co,0.6696871227579003,0.6312151458515496,0.7066190725324716,20,155,0.790046397927477,79
10,pilot_uniandes_co,0.7046818619654523,0.6785696498686106,0.7288272347712869,19,155,0.8155112449072083,70
11,pilot_uniandes_co,0.7078012374230078,0.6833811728072263,0.7310792291064316,29,155,0.8251397207224077,79
12,pilot_uniandes_co,0.7017308353876341,0.6739150786466429,0.7281573015839294,24,155,0.829590377760352,77
